descricao;endereco;area;quartos;wc;vagas;valor;condominio;wlink
Apartamento para venda tem 62 metros2 com 2 quartos em Cabo Branco - João Pessoa - PB;Rua Francisco Carneiro de Araújo, 135;[];[2];[2];[1];495000;450;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cabo-branco-bairros-joao-pessoa-com-garagem-62m2-venda-RS495000-id-2584314066/
Apartamento para venda com mobília com 2 quartos em Bessa todo mobiliado - João Pessoa - Paraíba;Avenida Presidente Café Filho;[];[2];[2];[1];300000;-;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bessa-bairros-joao-pessoa-com-garagem-63m2-venda-RS300000-id-2573998786/
Apartamento com 2 dormitórios à venda, 63 m² por R$ 108.000,00 - Jardim Cidade Universitária - João;Rua Genivaldo Correia Lima, 29;['63'];[2];[1];[1];108000;130;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-cidade-universitaria-bairros-joao-pessoa-com-garagem-63m2-venda-RS108000-id-2582224859/
APARTAMENTO C/290M2 NO BAIRRO DE MANAÍRA, C/04 QUARTOS DE FRENTE Á UMA PRAÇA. MELHOR LUGAR PARA SE V;Rua Santos Coelho Neto, 495;['430'];[4];[4];[2];840000;1488;https://www.vivareal.com.br/imovel/apartamento-4-quartos-manaira-bairros-joao-pessoa-com-garagem-290m2-venda-RS840000-id-2567391674/
APARTAMENTO C/02 QUARTOS NO BAIRRO DO BESSA A 50 METROS DO MAR;Rua Vicente Ielpo, 200;['74'];[2];[2];[1];350000;370;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bessa-bairros-joao-pessoa-com-garagem-66m2-venda-RS350000-id-2577208876/
Apartamento mobiliado no Bairro dos Estados, com 3 quartos, Vincent Van Gogh;Avenida Acre, 123;['78'];[3];[2];[1];550000;410;https://www.vivareal.com.br/imovel/apartamento-3-quartos-estados-bairros-joao-pessoa-com-garagem-78m2-venda-RS550000-id-2579562894/
Horizon, Alliance, Apartamento em Altiplano, 3 quartos, João Pessoa;Rua Clementina Lindoso, 234;['95'];[3];[2];[2];764000;890;https://www.vivareal.com.br/imovel/apartamento-3-quartos-altiplano-cabo-branco-bairros-joao-pessoa-com-garagem-95m2-venda-RS764000-id-2569407250/
Apartamento para Venda em João Pessoa, Cabo Branco, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga;Rua Francisco Carneiro de Araújo, ;['62'];[2];[2];[1];715000;619;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cabo-branco-bairros-joao-pessoa-com-garagem-62m2-venda-RS715000-id-2582395421/
Apartamento com 3 dormitórios à venda, 82 m² por R$ 488.002,00 - Manaíra - João Pessoa/PB;Avenida Pombal, 696;['82'];[3];[1];[2];593640;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-manaira-bairros-joao-pessoa-com-garagem-82m2-venda-RS593640-id-2576340525/
Apartamento com 3 dormitórios à venda, 97 m² por R$ 570.000 - Miramar - João Pessoa/PB;Rua Vandick Pinto Filgueiras, 158;['152'];[3];[3];[2];570000;768;https://www.vivareal.com.br/imovel/apartamento-3-quartos-miramar-bairros-joao-pessoa-com-garagem-97m2-venda-RS570000-id-2581569909/
Apartamento para venda tem 260 metros quadrados com 4 quartos em Aeroclube - João Pessoa - PB;Rua Vereador Gumercindo Barbosa Dunda, 300;[];[4];[5];[3];738000;1500;https://www.vivareal.com.br/imovel/apartamento-4-quartos-aeroclube-bairros-joao-pessoa-com-garagem-260m2-venda-RS738000-id-2574491102/
Apartamento para venda possui 50 metros quadrados com 2 quartos em Manaíra - João Pessoa - PB;Rua São Gonçalo, 786;['50'];[2];[2];[1];178000;350;https://www.vivareal.com.br/imovel/apartamento-2-quartos-manaira-bairros-joao-pessoa-com-garagem-50m2-venda-RS178000-id-2561013195/
Apartamento no Brisamar c/ 3 quartos, 92 metros e área de lazer em João Pessoa - PB;Rua Cassimiro de Abreu, 36;[];[3];[3];[2];680000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-brisamar-bairros-joao-pessoa-com-garagem-92m2-venda-RS680000-id-2565192605/
Apartamento 3 quartos com varanda gourmet;Rua Ovídio Mendonça;[];[3];[3];[3];650000;851;https://www.vivareal.com.br/imovel/apartamento-3-quartos-miramar-bairros-joao-pessoa-com-garagem-103m2-venda-RS650000-id-2573195672/
Apartamento para Venda em João Pessoa, Tambaú, 3 dormitórios, 3 suítes, 3 banheiros, 3 vagas;Rua Professora Maria Sales, ;['146'];[3];[3];[3];979000;900;https://www.vivareal.com.br/imovel/apartamento-3-quartos-tambau-bairros-joao-pessoa-com-garagem-146m2-venda-RS979000-id-2583780262/
Apartamento para venda possui 108 metros quadrados com 2 quartos em Cabo Branco - João Pessoa - PB;Avenida Cabo Branco, 156;['108'];[2];[3];[2];1594000;890;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cabo-branco-bairros-joao-pessoa-com-garagem-108m2-venda-RS1594000-id-2583405414/
FLAT VISTA MAR NA PRAIA DE MANAÍRA;-;[];[1];[1];[1];370000;-;https://www.vivareal.com.br/imovel/apartamento-1-quartos-manaira-bairros-joao-pessoa-com-garagem-22m2-venda-RS370000-id-2580157050/
Apartamento para venda com 72 metros quadrados com 3 quartos em Brisamar - João Pessoa - PB;Rua Cassimiro de Abreu;[];[3];[1];[1];490000;400;https://www.vivareal.com.br/imovel/apartamento-3-quartos-brisamar-bairros-joao-pessoa-com-garagem-72m2-venda-RS490000-id-2581967601/
Lindo Apto de 102 m² - 4 quartos, sendo 2 suítes - Bem localizado em Tambaú - Ventilado.;Rua Sidney Clemente Dore;['120'];[4];[3];[1];415000;700;https://www.vivareal.com.br/imovel/apartamento-4-quartos-tambau-bairros-joao-pessoa-com-garagem-102m2-venda-RS415000-id-2582448169/
Apartamento 3 dormitòrios no nobre bairro do Altiplano;Rua Iracema Guedes Lins, 430;['73'];[3];[3];[2];620000;400;https://www.vivareal.com.br/imovel/apartamento-3-quartos-altiplano-cabo-branco-bairros-joao-pessoa-com-garagem-73m2-venda-RS620000-id-2582317093/
PORTEIRA FECHADA EM MANAIRA;Avenida Pombal, 1421;['76'];[3];[3];[1];455000;382;https://www.vivareal.com.br/imovel/apartamento-3-quartos-manaira-bairros-joao-pessoa-com-garagem-76m2-venda-RS455000-id-2580463156/
Apartamento com 3 suítes à venda, 156 m² por R$ 1.300.000 - Cabo Branco - João Pessoa/PB;Rua Osiris de Belli, 120;['156'];[3];[4];[2];1299000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabo-branco-bairros-joao-pessoa-com-garagem-156m2-venda-RS1299000-id-2545920876/
Apartamento para vender com 3 dormitórios , 79 m² por R$ 460.000 - Bessa - João Pessoa/PB;-;['79'];[3];[1];[1];460000;365;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bessa-bairros-joao-pessoa-com-garagem-79m2-venda-RS460000-id-2573081532/
Apartamento com 3 dormitórios à venda, 120 m² por R$ 560.000,00 - Manaíra - João Pessoa/PB;Avenida Esperança, 801;['120'];[3];[4];[2];560000;800;https://www.vivareal.com.br/imovel/apartamento-3-quartos-manaira-bairros-joao-pessoa-com-garagem-120m2-venda-RS560000-id-2562771080/
Apartamento para venda possui 175 metros quadrados com 4 quartos;-;[];[4];[6];[3];1500000;0;https://www.vivareal.com.br/imovel/apartamento-4-quartos-altiplano-cabo-branco-bairros-joao-pessoa-com-garagem-175m2-venda-RS1500000-id-2579965603/
Com móveis projetados!;Avenida Umbuzeiro;[];[3];[4];[1];399000;-;https://www.vivareal.com.br/imovel/apartamento-3-quartos-manaira-bairros-joao-pessoa-com-garagem-101m2-venda-RS399000-id-2560936787/
APARTAMENTO 3 QUARTOS VIZINHO A VILA OLYMPICA POR 260 MIL - BAIRRO DOS ESTADOS;Rua Fernando Mota;['72'];[3];[2];[2];260000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-estados-bairros-joao-pessoa-com-garagem-72m2-venda-RS260000-id-2580023045/
JOãO PESSOA - Apartamento Padrão - Altiplano Cabo Branco;-;['128'];[3];[3];[2];920000;-;https://www.vivareal.com.br/imovel/apartamento-3-quartos-altiplano-cabo-branco-bairros-joao-pessoa-com-garagem-128m2-venda-RS920000-id-2584324219/
Apartamento para Venda em João Pessoa, B. Estados, 3 dormitórios, 2 suítes, 3 banheiros, 2 vagas;Avenida São Paulo, 828;['85'];[3];[3];[2];650000;-;https://www.vivareal.com.br/imovel/apartamento-3-quartos-estados-bairros-joao-pessoa-com-garagem-85m2-venda-RS650000-id-2584375805/
Ótimo apt em manaíra todo projetado em andar alto!!;-;['126'];[3];[4];[2];750000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-manaira-bairros-joao-pessoa-com-garagem-126m2-venda-RS750000-id-2561685227/
Apartamento com 3 dormitórios à venda, 91 m² por R$ 550.000,00 - Bessa - João Pessoa/PB;Rua Cantora Maria da Glória Gouveia de Vasconcelos, 87;['134'];[3];[2];[1];550000;450;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bessa-bairros-joao-pessoa-com-garagem-92m2-venda-RS550000-id-2576340526/
Cobertura para venda com 240 metros quadrados com 4 quartos em Cabo Branco - João Pessoa - PB;Avenida Antônio Lira, 823;['240'];[4];[5];[2];1250000;845;https://www.vivareal.com.br/imovel/apartamento-4-quartos-cabo-branco-bairros-joao-pessoa-com-garagem-240m2-venda-RS1250000-id-2520754582/
Apartamento para venda possui 62 metros quadrados com 2 quartos em Bessa - João Pessoa - PB;-;[];[2];[1];[1];235000;0;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bessa-bairros-joao-pessoa-com-garagem-62m2-venda-RS235000-id-2562725314/
Apartamento com 2 dormitórios à venda, 59 m² por R$ 190.000,00 - Bessa - João Pessoa/PB;Rua José Tavares Benevides, 153;['80'];[2];[1];[1];190000;170;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bessa-bairros-joao-pessoa-com-garagem-59m2-venda-RS190000-id-2578230989/
Apartamento com 3 dormitórios à venda, 88 m² por R$ 550.000 - Bessa - João Pessoa/PB;Rua José Simões de Araújo, 61;['88'];[3];[1];[2];550000;719;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bessa-bairros-joao-pessoa-com-garagem-88m2-venda-RS550000-id-2578230990/
Apartamento de luxo a venda no Jardim Luna com 4 suítes, andar super alto;Rua Custódio Domingos dos Santos;[];[4];[6];[3];1500000;0;https://www.vivareal.com.br/imovel/apartamento-4-quartos-brisamar-bairros-joao-pessoa-com-garagem-180m2-venda-RS1500000-id-2577297725/
Apartamento com 2 quartos à venda, 70 m² por R$ 320.000 - Expedicionários - João Pessoa/PB;Rua Marechal Esperidião Rosas, 110;['110'];[2];[2];[1];320000;400;https://www.vivareal.com.br/imovel/apartamento-2-quartos-expedicionarios-bairros-joao-pessoa-com-garagem-70m2-venda-RS320000-id-2567822831/
Apartamento Alto Padrao 91 metros quadrados com 3 quartos em Estados - João Pessoa - PB;Avenida Mato Grosso, 741;['91'];[3];[2];[2];619900;470;https://www.vivareal.com.br/imovel/apartamento-3-quartos-estados-bairros-joao-pessoa-com-garagem-91m2-venda-RS619900-id-2581318416/
Apartamento à venda, 3 quartos, 1 suíte, 2 vagas, Cabo Branco - João Pessoa/PB;Avenida Monsenhor Odilon Coutinho;['100'];[3];[3];[2];650000;680;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabo-branco-bairros-joao-pessoa-com-garagem-100m2-venda-RS650000-id-2558715457/
Apartamento com 2 dormitórios à venda, 58 m² por R$ 265.000,00 - Expedicionários - João Pessoa/PB;Rua Marechal Esperidião Rosas, 511;['58'];[2];[2];[2];265000;388;https://www.vivareal.com.br/imovel/apartamento-2-quartos-expedicionarios-bairros-joao-pessoa-com-garagem-58m2-venda-RS265000-id-2579273721/
RESIDENCIA CITY PARK;Rua Adonias de Azevedo Araújo, 0;[];[3];[2];[1];148999;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-planalto-boa-esperanca-bairros-joao-pessoa-com-garagem-58m2-venda-RS148999-id-2571359650/
Apartamento para venda tem 117 metros quadrados com 3 quartos;Rua Nurisman de Andrade Carneiro, 110;['117'];[3];[3];[2];400000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-cidade-universitaria-bairros-joao-pessoa-com-garagem-117m2-venda-RS400000-id-2569938849/
Apartamento com 3 dormitórios, 180 m² - venda por R$ 500.000,00 ou aluguel por R$ 3.000,00/ano - Bes;Rua Norberto de Castro Nogueira, 505;['180'];[3];[1];[2];3000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bessa-bairros-joao-pessoa-com-garagem-180m2-venda-RS500000-id-2583432074/
Apartamento para aluguel e venda com 60 metros com 2 quartos, suítes , beira mar mobiliado;Avenida Cabo Branco, 1657;['65'];[2];[2];[1];3500;-;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cabo-branco-bairros-joao-pessoa-com-garagem-60m2-venda-RS580000-id-2583253548/
Apartamento para venda com 2 quartos em Tambaú - João Pessoa - PB;Rua Nossa Senhora dos Navegantes;[];[2];[2];[1];775000;0;https://www.vivareal.com.br/imovel/apartamento-2-quartos-tambau-bairros-joao-pessoa-com-garagem-40m2-venda-RS775000-id-2584287337/
Apartamento no Bairro dos Estados, com 3 quartos, João Pessoa;Avenida Bahia, ;['123'];[3];[3];[2];885991;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-estados-bairros-joao-pessoa-com-garagem-123m2-venda-RS885991-id-2576901437/
Apartamento com 2 dormitórios à venda, 63 m² por R$ 354.768,75 - Jardim Oceania - João Pessoa/PB;Rua Josemar Rodrigues de Carvalho, 111;['64'];[2];[2];[1];354769;0;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-oceania-bairros-joao-pessoa-com-garagem-64m2-venda-RS354769-id-2562768240/
ULTIMAS UNIDADES! BAIXOU!! 295 MIL!! RESIDENCIAL COMPLETO COM AREA DE LAZER E ELEVADOR;Rua Oswaldo Evaristo da Costa;['59'];[2];[2];[1];295000;0;https://www.vivareal.com.br/imovel/apartamento-2-quartos-estados-bairros-joao-pessoa-com-garagem-59m2-venda-RS295000-id-2581247328/
Cobertura no Bessa, com 5 quartos, mobiliada com conforto e privacidade em João Pessoa;Rua Bacharel José de Oliveira Curchatuz, ;['420'];[5];[5];[4];1560000;1800;https://www.vivareal.com.br/imovel/apartamento-5-quartos-aeroclube-bairros-joao-pessoa-com-garagem-420m2-venda-RS1560000-id-2576240438/
APARTAMENTO EM TAMBAU, PRONTO PARA MORAR.;Rua Sidney Clemente Dore, 255;[];[3];[3];[2];1200000;930;https://www.vivareal.com.br/imovel/apartamento-3-quartos-tambau-bairros-joao-pessoa-com-garagem-135m2-venda-RS1200000-id-2583577288/
Apartamento para venda tem 97 metros quadrados com 2 quartos em Tambaú - João Pessoa - PB;Avenida Izidro Gomes, 221;[];[2];[3];[2];580000;702;https://www.vivareal.com.br/imovel/apartamento-2-quartos-tambau-bairros-joao-pessoa-com-garagem-97m2-venda-RS580000-id-2565203756/
Apartamento em Altiplano Cabo Branco, Lançamento Horizon Alliance;Rua Orlando Di Cavalcanti Villar, 1;['96'];[3];[2];[2];795900;890;https://www.vivareal.com.br/imovel/apartamento-3-quartos-altiplano-cabo-branco-bairros-joao-pessoa-com-garagem-96m2-venda-RS795900-id-2536860606/
Apartamento com 4 quartos no Cabo Branco;Rua Francisco Diomedes Cantalice, 20;['165'];[4];[4];[2];570000;0;https://www.vivareal.com.br/imovel/apartamento-4-quartos-cabo-branco-bairros-joao-pessoa-com-garagem-165m2-venda-RS570000-id-2583053431/
Apartamento Miramar - João Pessoa - PB;Rua Doutor Agrícola Montenegro, 1;[];[4];[1];[2];595000;0;https://www.vivareal.com.br/imovel/apartamento-4-quartos-miramar-bairros-joao-pessoa-com-garagem-130m2-venda-RS595000-id-2583853343/
Apartamento Novo Brisamar com 3 suítes 133 metros;Rua Augusto Antonio Toscano Varandas, 10;[];[3];[5];[2];870000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-joao-agripino-bairros-joao-pessoa-com-garagem-133m2-venda-RS870000-id-2580314785/
Apartamento com 3 dormitórios à venda, 86 m² por R$ 350.000 - Manaíra - João Pessoa/PB;-;['86'];[3];[3];[2];350000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-manaira-bairros-joao-pessoa-com-garagem-86m2-venda-RS350000-id-2576745253/
Apartamento 1 Quarto em Tambauzinho próximo a Epitácio;Rua Abdias Gomes de Almeida, 123;[];[1];[1];[1];179000;300;https://www.vivareal.com.br/imovel/apartamento-1-quartos-tambauzinho-bairros-joao-pessoa-com-garagem-30m2-venda-RS179000-id-2576238896/
Apartamento Térreo para venda com 80 metros quadrados com 3 quartos;Rua Cecília Rodrigues Siqueira, 200;['80'];[3];[2];[1];165000;170;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bancarios-bairros-joao-pessoa-com-garagem-80m2-venda-RS165000-id-2581216852/
Apartamento no Jardim Luna com 311 m2;Rua Rita de Alencar Carvalho Luna, 100;['443'];[4];[6];[3];1350000;1400;https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-luna-bairros-joao-pessoa-com-garagem-311m2-venda-RS1350000-id-2567389580/
FLAT EM MANAIRA MUITO BARATO ENTREGA EM JANEIRO DE 2023;Avenida Monteiro da Franca, 1087;[];[1];[1];[1];160000;-;https://www.vivareal.com.br/imovel/apartamento-1-quartos-manaira-bairros-joao-pessoa-com-garagem-19m2-venda-RS160000-id-2580449017/
JOãO PESSOA - Apartamento Padrão - Manaíra;-;['447'];[4];[5];[3];1560000;1700;https://www.vivareal.com.br/imovel/apartamento-4-quartos-manaira-bairros-joao-pessoa-com-garagem-447m2-venda-RS1560000-id-2583559552/
